RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CHANGED_AT,lastChangedDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CHANGED_BY,changedBy,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CHANGED_TS,lastChangedDateTime,Datetime,int-utc-to-sydney-datetime,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,CHECKLIST_PROFIL,checklistProfile,String,,,
raw.crm_crm_jcds,cleansed.crm_crm_jcds,CHGNR,changeNumber,String,,,
raw.crm_crm_jcds,cleansed.crm_crm_jcds,CHIND,changeIndicator,String,,,
raw.crm_crmorderphio,cleansed.crm_crmorderphio,CHNG_TIME,changeDateTime,Datetime,int-utc-to-sydney-datetime,,
raw.crm_crmorderphio,cleansed.crm_crmorderphio,CHNG_USER,changedByUser,String,,,
raw.crm_crmd_erms_header,cleansed.crm_crmd_erms_header,CMS_ID,interactionCenterID,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,CODE,code,String,,,
raw.crm_crmd_srv_subject,cleansed.crm_crmd_srv_subject,CODE,serviceSubjectCode,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CODE_C,codeC,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,CODE_D,codeD,String,,,
